_id,WeekEnding,AgeGroup,PatientsTested,PatientsPositive,PatientsNegative,PercentPositive,Rate
1,20200202,Age 20-21,2,0,2,0,0
2,20200209,Age 12-15,1,0,1,0,0
3,20200209,Age 20-21,1,0,1,0,0
4,20200216,Age 0-1,4,0,4,0,0
5,20200216,Age 18-19,3,0,3,0,0
6,20200216,Age 2-4,2,0,2,0,0
7,20200216,Age 20-21,4,0,4,0,0
8,20200216,Age 5-11,3,0,3,0,0
9,20200223,Age 0-1,2,0,2,0,0
10,20200223,Age 12-15,3,0,3,0,0
11,20200223,Age 2-4,6,0,6,0,0
12,20200223,Age 5-11,2,0,2,0,0
13,20200301,Age 0-1,29,0,29,0,0
14,20200301,Age 12-15,20,0,20,0,0
15,20200301,Age 16-17,5,0,5,0,0
16,20200301,Age 18-19,6,0,6,0,0
17,20200301,Age 2-4,19,0,19,0,0
18,20200301,Age 20-21,11,0,11,0,0
19,20200301,Age 5-11,29,0,29,0,0
20,20200308,Age 0-1,130,0,130,0,0
21,20200308,Age 12-15,18,0,18,0,0
22,20200308,Age 16-17,12,0,12,0,0
23,20200308,Age 18-19,17,0,17,0,0
24,20200308,Age 2-4,64,0,64,0,0
25,20200308,Age 20-21,15,1,14,0.06666666666666667,0.8
26,20200308,Age 5-11,57,0,57,0,0
27,20200315,Age 0-1,156,0,156,0,0
28,20200315,Age 12-15,46,1,45,0.021739130434782608,0.4
29,20200315,Age 16-17,19,2,17,0.10526315789473684,1.8
30,20200315,Age 18-19,25,4,21,0.16,3.5
31,20200315,Age 2-4,103,0,103,0,0
32,20200315,Age 20-21,39,4,35,0.10256410256410256,3.1
33,20200315,Age 5-11,86,0,86,0,0
34,20200322,Age 0-1,179,1,178,0.00558659217877095,1
35,20200322,Age 12-15,53,0,53,0,0
36,20200322,Age 16-17,17,2,15,0.11764705882352941,1.8
37,20200322,Age 18-19,27,2,25,0.07407407407407407,1.7
38,20200322,Age 2-4,133,1,132,0.007518796992481203,0.6
39,20200322,Age 20-21,22,2,20,0.09090909090909091,1.5
40,20200322,Age 5-11,155,0,155,0,0
41,20200329,Age 0-1,195,5,190,0.02564102564102564,5
42,20200329,Age 12-15,69,3,66,0.043478260869565216,1.3
43,20200329,Age 16-17,32,4,28,0.125,3.6
44,20200329,Age 18-19,33,3,30,0.09090909090909091,2.6
45,20200329,Age 2-4,203,4,199,0.019704433497536946,2.4
46,20200329,Age 20-21,35,8,27,0.22857142857142856,6.1
47,20200329,Age 5-11,198,6,192,0.030303030303030304,1.4
48,20200405,Age 0-1,175,7,168,0.04,7
49,20200405,Age 12-15,69,3,66,0.043478260869565216,1.3
50,20200405,Age 16-17,44,3,41,0.06818181818181818,2.7
51,20200405,Age 18-19,54,11,43,0.2037037037037037,9.6
52,20200405,Age 2-4,140,4,136,0.02857142857142857,2.4
53,20200405,Age 20-21,53,11,42,0.20754716981132076,8.5
54,20200405,Age 5-11,192,11,181,0.057291666666666664,2.6
55,20200412,Age 0-1,108,0,108,0,0
56,20200412,Age 12-15,49,4,45,0.08163265306122448,1.7
57,20200412,Age 16-17,20,2,18,0.1,1.8
58,20200412,Age 18-19,43,8,35,0.18604651162790697,7
59,20200412,Age 2-4,90,3,87,0.03333333333333333,1.8
60,20200412,Age 20-21,48,15,33,0.3125,11.5
61,20200412,Age 5-11,117,6,111,0.05128205128205128,1.4
62,20200419,Age 0-1,124,5,119,0.04032258064516129,5
63,20200419,Age 12-15,45,5,40,0.1111111111111111,2.1
64,20200419,Age 16-17,41,6,35,0.14634146341463414,5.4
65,20200419,Age 18-19,49,9,40,0.1836734693877551,7.8
66,20200419,Age 2-4,108,2,106,0.018518518518518517,1.2
67,20200419,Age 20-21,73,19,54,0.2602739726027397,14.6
68,20200419,Age 5-11,133,3,130,0.022556390977443608,0.7
69,20200426,Age 0-1,138,1,137,0.007246376811594203,1
70,20200426,Age 12-15,56,6,50,0.10714285714285714,2.6
71,20200426,Age 16-17,36,2,34,0.05555555555555555,1.8
72,20200426,Age 18-19,65,10,55,0.15384615384615385,8.7
73,20200426,Age 2-4,102,2,100,0.0196078431372549,1.2
74,20200426,Age 20-21,103,20,83,0.1941747572815534,15.4
75,20200426,Age 5-11,118,2,116,0.01694915254237288,0.5
76,20200503,Age 0-1,154,0,154,0,0
77,20200503,Age 12-15,103,8,95,0.07766990291262135,3.4
78,20200503,Age 16-17,44,4,40,0.09090909090909091,3.6
79,20200503,Age 18-19,233,22,211,0.0944206008583691,19.1
80,20200503,Age 2-4,109,1,108,0.009174311926605505,0.6
81,20200503,Age 20-21,315,39,276,0.12380952380952381,30
82,20200503,Age 5-11,197,4,193,0.02030456852791878,1
83,20200510,Age 0-1,175,0,175,0,0
84,20200510,Age 12-15,188,7,181,0.03723404255319149,3
85,20200510,Age 16-17,125,11,114,0.088,10
86,20200510,Age 18-19,207,16,191,0.07729468599033816,13.9
87,20200510,Age 2-4,110,1,109,0.00909090909090909,0.6
88,20200510,Age 20-21,293,28,265,0.09556313993174062,21.5
89,20200510,Age 5-11,344,10,334,0.029069767441860465,2.4
90,20200517,Age 0-1,142,0,142,0,0
91,20200517,Age 12-15,196,5,191,0.025510204081632654,2.1
92,20200517,Age 16-17,120,5,115,0.041666666666666664,4.5
93,20200517,Age 18-19,214,18,196,0.08411214953271028,15.7
94,20200517,Age 2-4,97,3,94,0.030927835051546393,1.8
95,20200517,Age 20-21,325,27,298,0.08307692307692308,20.8
96,20200517,Age 5-11,395,8,387,0.020253164556962026,1.9
97,20200524,Age 0-1,147,1,146,0.006802721088435374,1
98,20200524,Age 12-15,229,5,224,0.021834061135371178,2.1
99,20200524,Age 16-17,150,6,144,0.04,5.4
100,20200524,Age 18-19,250,9,241,0.036,7.8
101,20200524,Age 2-4,85,0,85,0,0
102,20200524,Age 20-21,355,9,346,0.02535211267605634,6.9
103,20200524,Age 5-11,450,2,448,0.0044444444444444444,0.5
104,20200531,Age 0-1,129,0,129,0,0
105,20200531,Age 12-15,147,2,145,0.013605442176870748,0.9
106,20200531,Age 16-17,108,0,108,0,0
107,20200531,Age 18-19,232,14,218,0.0603448275862069,12.2
108,20200531,Age 2-4,71,0,71,0,0
109,20200531,Age 20-21,322,23,299,0.07142857142857142,17.7
110,20200531,Age 5-11,340,7,333,0.020588235294117647,1.7
111,20200607,Age 0-1,147,0,147,0,0
112,20200607,Age 12-15,170,1,169,0.0058823529411764705,0.4
113,20200607,Age 16-17,94,3,91,0.031914893617021274,2.7
114,20200607,Age 18-19,181,3,178,0.016574585635359115,2.6
115,20200607,Age 2-4,91,1,90,0.01098901098901099,0.6
116,20200607,Age 20-21,255,4,251,0.01568627450980392,3.1
117,20200607,Age 5-11,345,0,345,0,0
118,20200614,Age 0-1,187,0,187,0,0
119,20200614,Age 12-15,181,2,179,0.011049723756906077,0.9
120,20200614,Age 16-17,132,1,131,0.007575757575757576,0.9
121,20200614,Age 18-19,190,4,186,0.021052631578947368,3.5
122,20200614,Age 2-4,104,1,103,0.009615384615384616,0.6
123,20200614,Age 20-21,311,1,310,0.003215434083601286,0.8
124,20200614,Age 5-11,331,1,330,0.0030211480362537764,0.2
125,20200621,Age 0-1,124,1,123,0.008064516129032258,1
126,20200621,Age 12-15,135,1,134,0.007407407407407408,0.4
127,20200621,Age 16-17,107,0,107,0,0
128,20200621,Age 18-19,196,0,196,0,0
129,20200621,Age 2-4,112,0,112,0,0
130,20200621,Age 20-21,334,3,331,0.008982035928143712,2.3
131,20200621,Age 5-11,266,1,265,0.0037593984962406013,0.2
132,20200628,Age 0-1,134,0,134,0,0
133,20200628,Age 12-15,153,1,152,0.006535947712418301,0.4
134,20200628,Age 16-17,127,0,127,0,0
135,20200628,Age 18-19,286,1,285,0.0034965034965034965,0.9
136,20200628,Age 2-4,88,0,88,0,0
137,20200628,Age 20-21,400,3,397,0.0075,2.3
138,20200628,Age 5-11,304,3,301,0.009868421052631578,0.7
139,20200705,Age 0-1,167,0,167,0,0
140,20200705,Age 12-15,133,0,133,0,0
141,20200705,Age 16-17,133,2,131,0.015037593984962405,1.8
142,20200705,Age 18-19,284,1,283,0.0035211267605633804,0.9
143,20200705,Age 2-4,102,0,102,0,0
144,20200705,Age 20-21,386,5,381,0.012953367875647668,3.8
145,20200705,Age 5-11,312,0,312,0,0
146,20200712,Age 0-1,155,0,155,0,0
147,20200712,Age 12-15,140,0,140,0,0
148,20200712,Age 16-17,112,1,111,0.008928571428571428,0.9
149,20200712,Age 18-19,230,3,227,0.013043478260869565,2.6
150,20200712,Age 2-4,88,0,88,0,0
151,20200712,Age 20-21,353,1,352,0.0028328611898017,0.8
152,20200712,Age 5-11,284,0,284,0,0
153,20200719,Age 0-1,174,0,174,0,0
154,20200719,Age 12-15,171,1,170,0.005847953216374269,0.4
155,20200719,Age 16-17,125,0,125,0,0
156,20200719,Age 18-19,226,3,223,0.01327433628318584,2.6
157,20200719,Age 2-4,99,0,99,0,0
158,20200719,Age 20-21,358,7,351,0.019553072625698324,5.4
159,20200719,Age 5-11,323,2,321,0.006191950464396285,0.5
160,20200726,Age 0-1,221,0,221,0,0
161,20200726,Age 12-15,186,0,186,0,0
162,20200726,Age 16-17,156,0,156,0,0
163,20200726,Age 18-19,301,2,299,0.006644518272425249,1.7
164,20200726,Age 2-4,201,0,201,0,0
165,20200726,Age 20-21,409,4,405,0.009779951100244499,3.1
166,20200726,Age 5-11,349,5,344,0.014326647564469915,1.2
167,20200802,Age 0-1,297,0,297,0,0
168,20200802,Age 12-15,204,0,204,0,0
169,20200802,Age 16-17,151,2,149,0.013245033112582781,1.8
170,20200802,Age 18-19,294,6,288,0.02040816326530612,5.2
171,20200802,Age 2-4,331,2,329,0.006042296072507553,1.2
172,20200802,Age 20-21,412,9,403,0.021844660194174758,6.9
173,20200802,Age 5-11,374,4,370,0.0106951871657754,1
174,20200809,Age 0-1,390,2,388,0.005128205128205128,2
175,20200809,Age 12-15,307,4,303,0.013029315960912053,1.7
176,20200809,Age 16-17,254,15,239,0.05905511811023622,13.6
177,20200809,Age 18-19,627,32,595,0.051036682615629984,27.8
178,20200809,Age 2-4,451,4,447,0.008869179600886918,2.4
179,20200809,Age 20-21,875,36,839,0.04114285714285714,27.7
180,20200809,Age 5-11,591,5,586,0.008460236886632826,1.2
181,20200816,Age 0-1,580,3,577,0.005172413793103448,3
182,20200816,Age 12-15,447,8,439,0.017897091722595078,3.4
183,20200816,Age 16-17,289,24,265,0.08304498269896193,21.8
184,20200816,Age 18-19,449,9,440,0.0200445434298441,7.8
185,20200816,Age 2-4,805,2,803,0.002484472049689441,1.2
186,20200816,Age 20-21,594,21,573,0.03535353535353535,16.1
187,20200816,Age 5-11,1028,9,1019,0.008754863813229572,2.1
188,20200823,Age 0-1,1112,8,1104,0.007194244604316547,8
189,20200823,Age 12-15,1530,8,1522,0.00522875816993464,3.4
190,20200823,Age 16-17,512,13,499,0.025390625,11.8
191,20200823,Age 18-19,587,46,541,0.07836456558773425,40
