_id,WeekEnding,AgeGroup,PatientsTested,PatientsPositive,PatientsNegative,PercentPositive,Rate
610,20211017,Age 16-17,1053,421,632,0.3998100664767331,382.2
611,20211017,Age 18-19,1051,199,852,0.18934348239771645,173.1
612,20211017,Age 2-4,1109,256,853,0.2308385933273219,156
613,20211017,Age 20-21,1173,191,982,0.1628303495311168,146.8
614,20211017,Age 5-11,4434,2686,1748,0.6057735678845286,641.3
615,20211024,Age 0-1,1030,131,899,0.12718446601941746,131.4
616,20211024,Age 12-15,3082,1182,1900,0.3835171966255678,504.8
617,20211024,Age 16-17,1335,424,911,0.31760299625468164,385
618,20211024,Age 18-19,1188,207,981,0.17424242424242425,180
619,20211024,Age 2-4,977,266,711,0.27226202661207777,162.1
620,20211024,Age 20-21,1320,229,1091,0.1734848484848485,176
621,20211024,Age 5-11,4018,2131,1887,0.5303633648581384,508.8
622,20211031,Age 0-1,1032,159,873,0.15406976744186046,159.5
623,20211031,Age 12-15,2617,932,1685,0.3561329766908674,398.1
624,20211031,Age 16-17,1308,429,879,0.32798165137614677,389.5
625,20211031,Age 18-19,1294,226,1068,0.17465224111282843,196.5
626,20211031,Age 2-4,1146,323,823,0.28184991273996507,196.8
627,20211031,Age 20-21,1357,233,1124,0.17170228445099484,179.1
628,20211031,Age 5-11,4346,2295,2051,0.5280717901518638,547.9
629,20211107,Age 0-1,1040,162,878,0.15576923076923077,162.5
630,20211107,Age 12-15,2827,1236,1591,0.4372125928546162,527.9
631,20211107,Age 16-17,1335,516,819,0.3865168539325843,468.5
632,20211107,Age 18-19,1121,245,876,0.21855486173059768,213.1
633,20211107,Age 2-4,1628,425,1203,0.26105651105651106,259
634,20211107,Age 20-21,1236,316,920,0.255663430420712,242.9
635,20211107,Age 5-11,6725,3669,3056,0.5455762081784387,876
636,20211114,Age 0-1,1062,185,877,0.17419962335216574,185.6
637,20211114,Age 12-15,2910,1470,1440,0.5051546391752577,627.8
638,20211114,Age 16-17,1275,580,695,0.4549019607843137,526.6
639,20211114,Age 18-19,1252,281,971,0.2244408945686901,244.4
640,20211114,Age 2-4,1702,417,1285,0.24500587544065805,254.1
641,20211114,Age 20-21,1311,363,948,0.2768878718535469,279
642,20211114,Age 5-11,7923,4457,3466,0.5625394421305061,1064.1
643,20211121,Age 0-1,962,155,807,0.16112266112266113,155.5
644,20211121,Age 12-15,2891,1440,1451,0.4980975441023867,615
645,20211121,Age 16-17,1152,548,604,0.4756944444444444,497.6
646,20211121,Age 18-19,927,234,693,0.2524271844660194,203.5
647,20211121,Age 2-4,1544,382,1162,0.24740932642487046,232.8
648,20211121,Age 20-21,1065,317,748,0.2976525821596244,243.7
649,20211121,Age 5-11,7356,4077,3279,0.5542414355628059,973.4
650,20211128,Age 0-1,960,156,804,0.1625,156.5
651,20211128,Age 12-15,2537,1305,1232,0.5143870713441072,557.4
652,20211128,Age 16-17,1001,473,528,0.4725274725274725,429.5
653,20211128,Age 18-19,859,201,658,0.2339930151338766,174.8
654,20211128,Age 2-4,1394,385,1009,0.27618364418938307,234.6
655,20211128,Age 20-21,958,279,679,0.29123173277661796,214.5
656,20211128,Age 5-11,6146,3355,2791,0.545883501464367,801
657,20211205,Age 0-1,1049,168,881,0.1601525262154433,168.5
658,20211205,Age 12-15,2775,1527,1248,0.5502702702702703,652.2
659,20211205,Age 16-17,1195,642,553,0.5372384937238494,582.9
660,20211205,Age 18-19,1033,232,801,0.2245885769603098,201.8
661,20211205,Age 2-4,1399,452,947,0.32308791994281627,275.4
662,20211205,Age 20-21,1148,270,878,0.23519163763066203,207.5
663,20211205,Age 5-11,6372,3632,2740,0.5699937225360954,867.2
664,20211212,Age 0-1,1207,185,1022,0.15327257663628832,185.6
665,20211212,Age 12-15,3505,1825,1680,0.5206847360912982,779.5
666,20211212,Age 16-17,1459,723,736,0.49554489376285127,656.4
667,20211212,Age 18-19,1273,359,914,0.2820109976433621,312.2
668,20211212,Age 2-4,1672,515,1157,0.30801435406698563,313.8
669,20211212,Age 20-21,1514,460,1054,0.3038309114927345,353.6
670,20211212,Age 5-11,8138,4538,3600,0.5576308675350209,1083.5
671,20211219,Age 0-1,1528,267,1261,0.17473821989528796,267.8
672,20211219,Age 12-15,4187,2179,2008,0.5204203486983521,930.7
673,20211219,Age 16-17,2065,1081,984,0.5234866828087167,981.5
674,20211219,Age 18-19,2645,1164,1481,0.4400756143667297,1012.3
675,20211219,Age 2-4,1922,582,1340,0.3028095733610822,354.6
676,20211219,Age 20-21,3077,1320,1757,0.4289892752681183,1014.7
677,20211219,Age 5-11,9032,5092,3940,0.5637732506643047,1215.7
678,20211226,Age 0-1,1417,332,1085,0.23429781227946367,333
679,20211226,Age 12-15,3985,2419,1566,0.6070263488080301,1033.2
680,20211226,Age 16-17,2377,1519,858,0.6390408077408498,1379.2
681,20211226,Age 18-19,3850,2588,1262,0.6722077922077923,2250.7
682,20211226,Age 2-4,1371,625,746,0.45587162654996355,380.8
683,20211226,Age 20-21,4759,3293,1466,0.691952090775373,2531.3
684,20211226,Age 5-11,6225,4145,2080,0.665863453815261,989.6
685,20220102,Age 0-1,1863,748,1115,0.4015029522275899,750.3
686,20220102,Age 12-15,5983,4324,1659,0.7227143573458131,1846.8
687,20220102,Age 16-17,3571,2596,975,0.7269672360683282,2357
688,20220102,Age 18-19,5991,4662,1329,0.7781672508763144,4054.3
689,20220102,Age 2-4,1835,1210,625,0.659400544959128,737.3
690,20220102,Age 20-21,6790,5327,1463,0.7845360824742268,4094.8
691,20220102,Age 5-11,8002,5867,2135,0.7331917020744814,1400.8
692,20220109,Age 0-1,1273,588,685,0.46190102120974075,589.8
